2.02E+13,wrongtime,x,y,team,time
Brynden Trawick,2035.597,93.19,25.37,away,25
Walt Aikens,2035.597,91.11,6.49,home,25
David Fluellen,2035.597,93.28,26.62,away,25
Senorise Perry,2035.597,95.8,25.87,home,25
Stephone Anthony,2035.597,94.13,21.72,home,25
A.J. Derby,2035.597,94.14,24.9,home,25
LeShaun Sims,2035.597,91.27,25.89,away,25
Aaron Wallace,2035.597,92.86,22.55,away,25
Tanner McEvoy,2035.597,97.21,23.18,home,25
Kenneth Durden,2035.597,89.24,45.24,away,25
Jonnu Smith,2035.597,93.54,24.06,away,25
Jayon Brown,2035.597,92.78,20.54,away,25
Chase Allen,2035.597,94.11,22.64,home,25
Matt Haack,2035.597,105.08,24.21,home,25
Torry McTyer,2035.597,90.95,46.26,home,25
Jerome Baker,2035.597,94.44,25.29,home,25
Durham Smythe,2035.597,93.03,23.17,home,25
Dane Cruikshank,2035.597,91.38,21.23,away,25
football,2035.597,104.17,24.3,football,25
Rishard Matthews,2035.598,39.23,23.68,away,26
Brandon Bolden,2035.598,95.08,21.28,home,26
Logan Ryan,2035.598,88.95,7.01,away,26
Daren Bates,2035.598,93.1,21.95,away,26
Brynden Trawick,2035.598,93.55,25.31,away,26
Walt Aikens,2035.598,90.75,6.38,home,26
David Fluellen,2035.598,93.73,26.39,away,26
Senorise Perry,2035.598,95.9,25.95,home,26
Stephone Anthony,2035.598,94.35,21.67,home,26
A.J. Derby,2035.598,94.37,24.93,home,26
LeShaun Sims,2035.598,91.61,26,away,26
Aaron Wallace,2035.598,93.15,22.47,away,26
Tanner McEvoy,2035.598,97.18,23.28,home,26
Kenneth Durden,2035.598,88.94,45.45,away,26
Jonnu Smith,2035.598,94.1,23.96,away,26
Jayon Brown,2035.598,93.08,20.67,away,26
Chase Allen,2035.598,94.38,22.59,home,26
Matt Haack,2035.598,105,24.25,home,26
Torry McTyer,2035.598,90.51,46.51,home,26
Jerome Baker,2035.598,94.69,25.28,home,26
Durham Smythe,2035.598,93.24,23.05,home,26
Dane Cruikshank,2035.598,91.74,21.09,away,26
football,2035.598,104.17,24.3,football,26
Rishard Matthews,2035.599,39.2,23.63,away,27
Brandon Bolden,2035.599,95.15,21.18,home,27
Logan Ryan,2035.599,88.68,6.88,away,27
Daren Bates,2035.599,93.4,21.95,away,27
Brynden Trawick,2035.599,93.89,25.26,away,27
Walt Aikens,2035.599,90.34,6.24,home,27
David Fluellen,2035.599,94.17,26.16,away,27
Senorise Perry,2035.599,95.99,26.04,home,27
Stephone Anthony,2035.599,94.57,21.6,home,27
A.J. Derby,2035.599,94.58,24.93,home,27
LeShaun Sims,2035.599,91.96,26.14,away,27
Aaron Wallace,2035.599,93.46,22.38,away,27
Tanner McEvoy,2035.599,97.15,23.37,home,27
Kenneth Durden,2035.599,88.59,45.66,away,27
Jonnu Smith,2035.599,94.65,23.85,away,27
Jayon Brown,2035.599,93.37,20.77,away,27
Chase Allen,2035.599,94.64,22.55,home,27
Matt Haack,2035.599,104.93,24.29,home,27
Torry McTyer,2035.599,90.03,46.78,home,27
Jerome Baker,2035.599,94.94,25.28,home,27
Durham Smythe,2035.599,93.47,22.93,home,27
Dane Cruikshank,2035.599,92.1,20.95,away,27
football,2035.599,104.82,24.57,football,27
Rishard Matthews,2036,39.15,23.56,away,28
Brandon Bolden,2036,95.23,21.08,home,28
Logan Ryan,2036,88.38,6.72,away,28
Daren Bates,2036,93.67,21.92,away,28
Brynden Trawick,2036,94.19,25.22,away,28
Walt Aikens,2036,89.9,6.08,home,28
David Fluellen,2036,94.57,25.94,away,28
Senorise Perry,2036,96.1,26.15,home,28
Stephone Anthony,2036,94.75,21.55,home,28
A.J. Derby,2036,94.78,24.91,home,28
LeShaun Sims,2036,92.3,26.29,away,28
Aaron Wallace,2036,93.74,22.32,away,28
Tanner McEvoy,2036,97.13,23.46,home,28
Kenneth Durden,2036,88.21,45.89,away,28
Jonnu Smith,2036,95.17,23.72,away,28
Jayon Brown,2036,93.64,20.87,away,28
Chase Allen,2036,94.85,22.52,home,28
Matt Haack,2036,104.84,24.33,home,28
Torry McTyer,2036,89.51,47.06,home,28
Jerome Baker,2036,95.2,25.27,home,28
Durham Smythe,2036,93.71,22.81,home,28
Dane Cruikshank,2036,92.46,20.79,away,28
football,2036,104.6,24.51,football,28
Rishard Matthews,2036.001,39.11,23.5,away,29
Brandon Bolden,2036.001,95.3,20.94,home,29
Logan Ryan,2036.001,88.06,6.5,away,29
Daren Bates,2036.001,93.92,21.88,away,29
Brynden Trawick,2036.001,94.43,25.19,away,29
Walt Aikens,2036.001,89.44,5.87,home,29
David Fluellen,2036.001,94.92,25.73,away,29
Senorise Perry,2036.001,96.19,26.28,home,29
Stephone Anthony,2036.001,94.89,21.53,home,29
A.J. Derby,2036.001,94.96,24.88,home,29
LeShaun Sims,2036.001,92.62,26.47,away,29
Aaron Wallace,2036.001,94,22.24,away,29
Tanner McEvoy,2036.001,97.13,23.52,home,29
Kenneth Durden,2036.001,87.79,46.14,away,29
Jonnu Smith,2036.001,95.65,23.62,away,29
Jayon Brown,2036.001,93.87,20.91,away,29
Chase Allen,2036.001,95.06,22.49,home,29
Matt Haack,2036.001,104.74,24.36,home,29
Torry McTyer,2036.001,88.93,47.35,home,29
Jerome Baker,2036.001,95.45,25.26,home,29
Durham Smythe,2036.001,93.96,22.69,home,29
Dane Cruikshank,2036.001,92.81,20.63,away,29
football,2036.001,104.37,24.45,football,29
Rishard Matthews,2036.002,39.05,23.42,away,30
Brandon Bolden,2036.002,95.38,20.79,home,30
Logan Ryan,2036.002,87.71,6.24,away,30
Daren Bates,2036.002,94.14,21.83,away,30
Brynden Trawick,2036.002,94.62,25.15,away,30
Walt Aikens,2036.002,88.94,5.62,home,30
David Fluellen,2036.002,95.24,25.55,away,30
Senorise Perry,2036.002,96.28,26.42,home,30
Stephone Anthony,2036.002,95.03,21.45,home,30
A.J. Derby,2036.002,95.11,24.83,home,30
LeShaun Sims,2036.002,92.91,26.65,away,30
Aaron Wallace,2036.002,94.26,22.15,away,30
Tanner McEvoy,2036.002,97.17,23.41,home,30
Kenneth Durden,2036.002,87.33,46.39,away,30
Jonnu Smith,2036.002,96.08,23.5,away,30
Jayon Brown,2036.002,94.07,20.94,away,30
Chase Allen,2036.002,95.24,22.47,home,30
Matt Haack,2036.002,104.62,24.36,home,30
Torry McTyer,2036.002,88.33,47.64,home,30
Jerome Baker,2036.002,95.7,25.25,home,30
Durham Smythe,2036.002,94.21,22.59,home,30
Dane Cruikshank,2036.002,93.15,20.46,away,30
football,2036.002,104.15,24.39,football,30
Rishard Matthews,2036.003,38.99,23.33,away,31
Brandon Bolden,2036.003,95.46,20.6,home,31
Logan Ryan,2036.003,87.32,5.96,away,31
Daren Bates,2036.003,94.3,21.77,away,31
Brynden Trawick,2036.003,94.76,25.11,away,31
Walt Aikens,2036.003,88.41,5.31,home,31
David Fluellen,2036.003,95.5,25.41,away,31
Senorise Perry,2036.003,96.34,26.56,home,31
Stephone Anthony,2036.003,95.14,21.35,home,31
A.J. Derby,2036.003,95.23,24.77,home,31
LeShaun Sims,2036.003,93.16,26.84,away,31
Aaron Wallace,2036.003,94.47,22.06,away,31
Tanner McEvoy,2036.003,97.22,23.31,home,31
Kenneth Durden,2036.003,86.83,46.66,away,31
Jonnu Smith,2036.003,96.46,23.4,away,31
Jayon Brown,2036.003,94.24,20.94,away,31
Chase Allen,2036.003,95.4,22.46,home,31
Matt Haack,2036.003,104.46,24.34,home,31
Torry McTyer,2036.003,87.68,47.94,home,31
Jerome Baker,2036.003,95.92,25.26,home,31
Durham Smythe,2036.003,94.45,22.49,home,31
Dane Cruikshank,2036.003,93.48,20.27,away,31
football,2036.003,103.93,24.33,football,31
Rishard Matthews,2036.004,38.91,23.24,away,32
Brandon Bolden,2036.004,95.54,20.39,home,32
Logan Ryan,2036.004,86.9,5.64,away,32
Daren Bates,2036.004,94.4,21.73,away,32
Brynden Trawick,2036.004,94.84,25.06,away,32
Walt Aikens,2036.004,87.86,4.97,home,32
David Fluellen,2036.004,95.71,25.33,away,32
Senorise Perry,2036.004,96.36,26.68,home,32
Stephone Anthony,2036.004,95.22,21.23,home,32
A.J. Derby,2036.004,95.32,24.7,home,32
LeShaun Sims,2036.004,93.35,27.03,away,32
Aaron Wallace,2036.004,94.66,21.97,away,32
Tanner McEvoy,2036.004,97.29,23.18,home,32
Kenneth Durden,2036.004,86.29,46.94,away,32
Jonnu Smith,2036.004,96.8,23.32,away,32
Jayon Brown,2036.004,94.35,20.92,away,32
Chase Allen,2036.004,95.53,22.47,home,32
Matt Haack,2036.004,104.28,24.31,home,32
Torry McTyer,2036.004,87.02,48.23,home,32
Jerome Baker,2036.004,96.13,25.27,home,32
Durham Smythe,2036.004,94.69,22.4,home,32
Dane Cruikshank,2036.004,93.78,20.04,away,32
football,2036.004,103.71,24.26,football,32
Rishard Matthews,2036.005,38.83,23.14,away,33
Brandon Bolden,2036.005,95.64,20.14,home,33
Logan Ryan,2036.005,86.45,5.31,away,33
Daren Bates,2036.005,94.44,21.72,away,33
Brynden Trawick,2036.005,94.87,24.99,away,33
Walt Aikens,2036.005,87.3,4.61,home,33
David Fluellen,2036.005,95.88,25.29,away,33
Senorise Perry,2036.005,96.35,26.79,home,33
Stephone Anthony,2036.005,95.26,21.11,home,33
A.J. Derby,2036.005,95.38,24.61,home,33
LeShaun Sims,2036.005,93.5,27.23,away,33
Aaron Wallace,2036.005,94.79,21.89,away,33
Tanner McEvoy,2036.005,97.35,23.03,home,33
Kenneth Durden,2036.005,85.72,47.23,away,33
Jonnu Smith,2036.005,97.11,23.27,away,33
Jayon Brown,2036.005,94.41,20.88,away,33
Chase Allen,2036.005,95.63,22.5,home,33
Matt Haack,2036.005,104.07,24.27,home,33
Torry McTyer,2036.005,86.32,48.51,home,33
Jerome Baker,2036.005,96.31,25.31,home,33
Durham Smythe,2036.005,94.9,22.32,home,33
Dane Cruikshank,2036.005,94.07,19.8,away,33
football,2036.005,103.46,24.19,football,33
Rishard Matthews,2036.006,38.75,23.04,away,34
Brandon Bolden,2036.006,95.74,19.84,home,34
Logan Ryan,2036.006,85.97,4.97,away,34
Daren Bates,2036.006,94.43,21.72,away,34
Brynden Trawick,2036.006,94.87,24.91,away,34
Walt Aikens,2036.006,86.71,4.22,home,34
David Fluellen,2036.006,96,25.31,away,34
Senorise Perry,2036.006,96.3,26.89,home,34
Stephone Anthony,2036.006,95.26,20.96,home,34
A.J. Derby,2036.006,95.41,24.52,home,34
LeShaun Sims,2036.006,93.58,27.41,away,34
Aaron Wallace,2036.006,94.86,21.8,away,34
Tanner McEvoy,2036.006,97.43,22.84,home,34
Kenneth Durden,2036.006,85.12,47.52,away,34
Jonnu Smith,2036.006,97.39,23.23,away,34
Jayon Brown,2036.006,94.41,20.81,away,34
Chase Allen,2036.006,95.68,22.56,home,34
Matt Haack,2036.006,103.85,24.22,home,34
Torry McTyer,2036.006,85.61,48.78,home,34
Jerome Baker,2036.006,96.47,25.36,home,34
Durham Smythe,2036.006,95.07,22.24,home,34
Dane Cruikshank,2036.006,94.32,19.53,away,34
football,2036.006,103.18,24.11,football,34
Rishard Matthews,2036.007,38.67,22.92,away,35
Brandon Bolden,2036.007,95.86,19.48,home,35
Logan Ryan,2036.007,85.46,4.63,away,35
Daren Bates,2036.007,94.37,21.74,away,35
Brynden Trawick,2036.007,94.83,24.82,away,35
Walt Aikens,2036.007,86.11,3.81,home,35
David Fluellen,2036.007,96.08,25.37,away,35
Senorise Perry,2036.007,96.18,26.96,home,35
Stephone Anthony,2036.007,95.22,20.77,home,35
A.J. Derby,2036.007,95.42,24.44,home,35
LeShaun Sims,2036.007,93.61,27.58,away,35
Aaron Wallace,2036.007,94.87,21.71,away,35
Tanner McEvoy,2036.007,97.51,22.64,home,35
Kenneth Durden,2036.007,84.48,47.81,away,35
Jonnu Smith,2036.007,97.65,23.21,away,35
Jayon Brown,2036.007,94.35,20.71,away,35
Chase Allen,2036.007,95.68,22.64,home,35
Matt Haack,2036.007,103.63,24.16,home,35
Torry McTyer,2036.007,84.87,49.04,home,35
Jerome Baker,2036.007,96.62,25.44,home,35
Durham Smythe,2036.007,95.21,22.16,home,35
Dane Cruikshank,2036.007,94.56,19.22,away,35
football,2036.007,102.87,24.02,football,35
Rishard Matthews,2036.008,38.58,22.81,away,36
Brandon Bolden,2036.008,95.97,19.06,home,36
Logan Ryan,2036.008,84.91,4.29,away,36
Daren Bates,2036.008,94.28,21.78,away,36
Brynden Trawick,2036.008,94.77,24.74,away,36
Walt Aikens,2036.008,85.49,3.4,home,36
David Fluellen,2036.008,96.12,25.48,away,36
Senorise Perry,2036.008,96.01,27,home,36
Stephone Anthony,2036.008,95.14,20.56,home,36
A.J. Derby,2036.008,95.41,24.36,home,36
LeShaun Sims,2036.008,93.58,27.71,away,36
Aaron Wallace,2036.008,94.82,21.62,away,36
Tanner McEvoy,2036.008,97.6,22.41,home,36
Kenneth Durden,2036.008,83.8,48.1,away,36
Jonnu Smith,2036.008,97.9,23.22,away,36
Jayon Brown,2036.008,94.23,20.59,away,36
Chase Allen,2036.008,95.63,22.74,home,36
Matt Haack,2036.008,103.4,24.1,home,36
Torry McTyer,2036.008,84.11,49.29,home,36
Jerome Baker,2036.008,96.73,25.55,home,36
Durham Smythe,2036.008,95.29,22.08,home,36
Dane Cruikshank,2036.008,94.77,18.89,away,36
football,2036.008,102.49,23.94,football,36
Rishard Matthews,2036.009,38.48,22.69,away,37
Brandon Bolden,2036.009,96.07,18.59,home,37
Logan Ryan,2036.009,84.34,3.97,away,37
Daren Bates,2036.009,94.14,21.86,away,37
Brynden Trawick,2036.009,94.69,24.65,away,37
Walt Aikens,2036.009,84.84,2.99,home,37
David Fluellen,2036.009,96.13,25.63,away,37
Senorise Perry,2036.009,95.78,27,home,37
Stephone Anthony,2036.009,94.99,20.31,home,37
A.J. Derby,2036.009,95.39,24.31,home,37
LeShaun Sims,2036.009,93.48,27.81,away,37
Aaron Wallace,2036.009,94.71,21.52,away,37
Tanner McEvoy,2036.009,97.69,22.17,home,37
Kenneth Durden,2036.009,83.11,48.38,away,37
Jonnu Smith,2036.009,98.15,23.22,away,37
Jayon Brown,2036.009,94.07,20.44,away,37
Chase Allen,2036.009,95.53,22.85,home,37
Matt Haack,2036.009,103.18,24.03,home,37
Torry McTyer,2036.009,83.34,49.54,home,37
Jerome Baker,2036.009,96.81,25.7,home,37
Durham Smythe,2036.009,95.33,22,home,37
Dane Cruikshank,2036.009,94.94,18.52,away,37
football,2036.009,102.11,23.84,football,37
Rishard Matthews,2036.01,38.39,22.57,away,38
Brandon Bolden,2036.01,96.12,18.07,home,38
Logan Ryan,2036.01,83.73,3.66,away,38
Daren Bates,2036.01,93.99,21.97,away,38
Brynden Trawick,2036.01,94.61,24.57,away,38
Walt Aikens,2036.01,84.16,2.61,home,38
David Fluellen,2036.01,96.1,25.82,away,38
Senorise Perry,2036.01,95.49,26.97,home,38
Stephone Anthony,2036.01,94.78,20.05,home,38
A.J. Derby,2036.01,95.35,24.27,home,38
LeShaun Sims,2036.01,93.33,27.88,away,38
Aaron Wallace,2036.01,94.56,21.41,away,38
Tanner McEvoy,2036.01,97.79,21.96,home,38
Kenneth Durden,2036.01,82.39,48.64,away,38
Jonnu Smith,2036.01,98.4,23.24,away,38
Jayon Brown,2036.01,93.86,20.28,away,38
Chase Allen,2036.01,95.37,22.97,home,38
Matt Haack,2036.01,102.98,23.96,home,38
Torry McTyer,2036.01,82.55,49.77,home,38
Jerome Baker,2036.01,96.85,25.87,home,38
Durham Smythe,2036.01,95.31,21.92,home,38
Dane Cruikshank,2036.01,95.07,18.13,away,38
football,2036.01,101.5,23.78,football,38
Rishard Matthews,2036.011,38.3,22.45,away,39
Brandon Bolden,2036.011,96.17,17.53,home,39
Logan Ryan,2036.011,83.09,3.37,away,39
Daren Bates,2036.011,93.83,22.12,away,39
Brynden Trawick,2036.011,94.53,24.52,away,39
Walt Aikens,2036.011,83.45,2.25,home,39
David Fluellen,2036.011,96.05,26.03,away,39
Senorise Perry,2036.011,95.1,26.92,home,39
Stephone Anthony,2036.011,94.54,19.77,home,39
A.J. Derby,2036.011,95.31,24.25,home,39
LeShaun Sims,2036.011,93.13,27.9,away,39
Aaron Wallace,2036.011,94.34,21.3,away,39
Tanner McEvoy,2036.011,97.89,21.77,home,39
Kenneth Durden,2036.011,81.64,48.88,away,39
Jonnu Smith,2036.011,98.67,23.26,away,39
Jayon Brown,2036.011,93.62,20.09,away,39
Chase Allen,2036.011,95.18,23.09,home,39
Matt Haack,2036.011,102.8,23.88,home,39
Torry McTyer,2036.011,81.73,49.98,home,39
Jerome Baker,2036.011,96.88,26.07,home,39
Durham Smythe,2036.011,95.23,21.83,home,39
Dane Cruikshank,2036.011,95.16,17.71,away,39
football,2036.011,100.62,23.76,football,39
Rishard Matthews,2036.012,38.21,22.33,away,40
Brandon Bolden,2036.012,96.19,16.97,home,40
Logan Ryan,2036.012,82.42,3.11,away,40
Daren Bates,2036.012,93.67,22.3,away,40
Brynden Trawick,2036.012,94.46,24.5,away,40
Walt Aikens,2036.012,82.71,1.93,home,40
David Fluellen,2036.012,95.99,26.27,away,40
Senorise Perry,2036.012,94.68,26.85,home,40
Stephone Anthony,2036.012,94.28,19.52,home,40
A.J. Derby,2036.012,95.26,24.26,home,40
LeShaun Sims,2036.012,92.87,27.87,away,40
Aaron Wallace,2036.012,94.08,21.19,away,40
Tanner McEvoy,2036.012,97.99,21.6,home,40
Kenneth Durden,2036.012,80.88,49.09,away,40
Jonnu Smith,2036.012,98.95,23.29,away,40
Jayon Brown,2036.012,93.35,19.89,away,40
Chase Allen,2036.012,94.96,23.23,home,40
Matt Haack,2036.012,102.63,23.79,home,40
Torry McTyer,2036.012,80.9,50.18,home,40
Jerome Baker,2036.012,96.87,26.28,home,40
Durham Smythe,2036.012,95.1,21.74,home,40
Dane Cruikshank,2036.012,95.19,17.24,away,40
football,2036.012,99.69,23.76,football,40
Rishard Matthews,2036.013,38.12,22.21,away,41
Brandon Bolden,2036.013,96.19,16.38,home,41
Logan Ryan,2036.013,81.72,2.87,away,41
Daren Bates,2036.013,93.51,22.5,away,41
Brynden Trawick,2036.013,94.4,24.49,away,41
Walt Aikens,2036.013,81.96,1.64,home,41
David Fluellen,2036.013,95.9,26.54,away,41
Senorise Perry,2036.013,94.21,26.75,home,41
Stephone Anthony,2036.013,93.98,19.29,home,41
A.J. Derby,2036.013,95.21,24.28,home,41
LeShaun Sims,2036.013,92.57,27.78,away,41
Aaron Wallace,2036.013,93.76,21.08,away,41
Tanner McEvoy,2036.013,98.06,21.48,home,41
Kenneth Durden,2036.013,80.1,49.28,away,41
Jonnu Smith,2036.013,99.22,23.31,away,41
Jayon Brown,2036.013,93.05,19.67,away,41
Chase Allen,2036.013,94.71,23.37,home,41
Matt Haack,2036.013,102.48,23.7,home,41
Torry McTyer,2036.013,80.05,50.36,home,41
Jerome Baker,2036.013,96.82,26.51,home,41
Durham Smythe,2036.013,94.92,21.64,home,41
Dane Cruikshank,2036.013,95.17,16.75,away,41
football,2036.013,98.78,23.74,football,41
Rishard Matthews,2036.014,38.04,22.1,away,42
Brandon Bolden,2036.014,96.13,15.76,home,42
Logan Ryan,2036.014,80.99,2.66,away,42
Daren Bates,2036.014,93.36,22.7,away,42
Brynden Trawick,2036.014,94.36,24.51,away,42
Walt Aikens,2036.014,81.17,1.4,home,42
David Fluellen,2036.014,95.8,26.82,away,42
Senorise Perry,2036.014,93.69,26.62,home,42
Stephone Anthony,2036.014,93.65,19.06,home,42
A.J. Derby,2036.014,95.15,24.28,home,42
LeShaun Sims,2036.014,92.22,27.65,away,42
Aaron Wallace,2036.014,93.42,20.97,away,42
Tanner McEvoy,2036.014,98.1,21.4,home,42
Kenneth Durden,2036.014,79.31,49.45,away,42
Jonnu Smith,2036.014,99.45,23.29,away,42
Jayon Brown,2036.014,92.72,19.42,away,42
Chase Allen,2036.014,94.44,23.52,home,42
Matt Haack,2036.014,102.34,23.61,home,42
Torry McTyer,2036.014,79.19,50.54,home,42
Jerome Baker,2036.014,96.73,26.72,home,42
Durham Smythe,2036.014,94.69,21.53,home,42
Dane Cruikshank,2036.014,95.09,16.23,away,42
football,2036.014,97.44,23.79,football,42
Rishard Matthews,2036.015,37.96,22,away,43
Brandon Bolden,2036.015,96.03,15.14,home,43
Logan Ryan,2036.015,80.24,2.47,away,43
Daren Bates,2036.015,93.21,22.91,away,43
Brynden Trawick,2036.015,94.31,24.55,away,43
Walt Aikens,2036.015,80.37,1.18,home,43
David Fluellen,2036.015,95.69,27.1,away,43
Senorise Perry,2036.015,93.13,26.46,home,43
Stephone Anthony,2036.015,93.3,18.84,home,43
A.J. Derby,2036.015,95.08,24.29,home,43
LeShaun Sims,2036.015,91.84,27.47,away,43
Aaron Wallace,2036.015,93.03,20.86,away,43
Tanner McEvoy,2036.015,98.11,21.35,home,43
Kenneth Durden,2036.015,78.5,49.59,away,43
Jonnu Smith,2036.015,99.68,23.27,away,43
Jayon Brown,2036.015,92.38,19.16,away,43
Chase Allen,2036.015,94.16,23.73,home,43
Matt Haack,2036.015,102.23,23.53,home,43
Torry McTyer,2036.015,78.33,50.69,home,43
Jerome Baker,2036.015,96.61,26.93,home,43
Durham Smythe,2036.015,94.41,21.43,home,43
Dane Cruikshank,2036.015,94.97,15.68,away,43
football,2036.015,95.47,23.92,football,43
Rishard Matthews,2036.016,37.89,21.94,away,44
Brandon Bolden,2036.016,95.87,14.5,home,44
Logan Ryan,2036.016,79.47,2.3,away,44
Daren Bates,2036.016,93.06,23.12,away,44
Brynden Trawick,2036.016,94.28,24.59,away,44
Walt Aikens,2036.016,79.55,1,home,44
David Fluellen,2036.016,95.55,27.36,away,44
Senorise Perry,2036.016,92.53,26.28,home,44
Stephone Anthony,2036.016,92.92,18.63,home,44
A.J. Derby,2036.016,95,24.29,home,44
LeShaun Sims,2036.016,91.4,27.24,away,44
Aaron Wallace,2036.016,92.59,20.75,away,44
Tanner McEvoy,2036.016,98.08,21.34,home,44
Kenneth Durden,2036.016,77.68,49.71,away,44
Jonnu Smith,2036.016,99.87,23.24,away,44
Jayon Brown,2036.016,92.01,18.89,away,44
Chase Allen,2036.016,93.88,23.95,home,44
Matt Haack,2036.016,102.12,23.45,home,44
Torry McTyer,2036.016,77.45,50.81,home,44
Jerome Baker,2036.016,96.42,27.11,home,44
Durham Smythe,2036.016,94.09,21.34,home,44
Dane Cruikshank,2036.016,94.8,15.12,away,44
football,2036.016,93.92,23.99,football,44
Rishard Matthews,2036.017,37.81,21.91,away,45
Brandon Bolden,2036.017,95.63,13.86,home,45
Logan Ryan,2036.017,78.67,2.16,away,45
Daren Bates,2036.017,92.9,23.31,away,45
Brynden Trawick,2036.017,94.23,24.64,away,45
Walt Aikens,2036.017,78.72,0.86,home,45
David Fluellen,2036.017,95.4,27.6,away,45
Senorise Perry,2036.017,91.89,26.08,home,45
Stephone Anthony,2036.017,92.53,18.45,home,45
A.J. Derby,2036.017,94.91,24.29,home,45
LeShaun Sims,2036.017,90.95,26.99,away,45
Aaron Wallace,2036.017,92.12,20.65,away,45
Tanner McEvoy,2036.017,98,21.37,home,45
Kenneth Durden,2036.017,76.85,49.8,away,45
Jonnu Smith,2036.017,100.04,23.21,away,45
Jayon Brown,2036.017,91.63,18.61,away,45
Chase Allen,2036.017,93.59,24.19,home,45
Matt Haack,2036.017,102.02,23.38,home,45
Torry McTyer,2036.017,76.57,50.91,home,45
Jerome Baker,2036.017,96.19,27.27,home,45
Durham Smythe,2036.017,93.72,21.25,home,45
Dane Cruikshank,2036.017,94.59,14.54,away,45
football,2036.017,92.77,24.07,football,45
Rishard Matthews,2036.018,37.73,21.92,away,46
Brandon Bolden,2036.018,95.35,13.22,home,46
Logan Ryan,2036.018,77.85,2.05,away,46
Daren Bates,2036.018,92.72,23.48,away,46
Brynden Trawick,2036.018,94.16,24.7,away,46
Walt Aikens,2036.018,77.86,0.75,home,46
David Fluellen,2036.018,95.21,27.81,away,46
Senorise Perry,2036.018,91.24,25.83,home,46
Stephone Anthony,2036.018,92.11,18.28,home,46
A.J. Derby,2036.018,94.78,24.28,home,46
LeShaun Sims,2036.018,90.48,26.71,away,46
Aaron Wallace,2036.018,91.61,20.56,away,46
Tanner McEvoy,2036.018,97.89,21.42,home,46
Kenneth Durden,2036.018,76,49.86,away,46
Jonnu Smith,2036.018,100.16,23.17,away,46
Jayon Brown,2036.018,91.22,18.35,away,46
Chase Allen,2036.018,93.3,24.46,home,46
Matt Haack,2036.018,101.94,23.31,home,46
Torry McTyer,2036.018,75.7,50.98,home,46
Jerome Baker,2036.018,95.91,27.4,home,46
Durham Smythe,2036.018,93.32,21.16,home,46
Dane Cruikshank,2036.018,94.33,13.95,away,46
football,2036.018,91.1,24.2,football,46
Rishard Matthews,2036.019,37.65,21.98,away,47
Brandon Bolden,2036.019,95.01,12.58,home,47
Logan Ryan,2036.019,77.01,1.96,away,47
Daren Bates,2036.019,92.53,23.65,away,47
Brynden Trawick,2036.019,94.08,24.77,away,47
Walt Aikens,2036.019,76.99,0.66,home,47
David Fluellen,2036.019,95.01,27.99,away,47
Senorise Perry,2036.019,90.58,25.55,home,47
Stephone Anthony,2036.019,91.65,18.15,home,47
A.J. Derby,2036.019,94.55,24.22,home,47
LeShaun Sims,2036.019,90,26.4,away,47
Aaron Wallace,2036.019,91.07,20.48,away,47
Tanner McEvoy,2036.019,97.73,21.51,home,47
Kenneth Durden,2036.019,75.14,49.9,away,47
Jonnu Smith,2036.019,100.24,23.13,away,47
Jayon Brown,2036.019,90.8,18.1,away,47
Chase Allen,2036.019,93,24.74,home,47
Matt Haack,2036.019,101.87,23.25,home,47
Torry McTyer,2036.019,74.82,51.02,home,47
Jerome Baker,2036.019,95.61,27.45,home,47
Durham Smythe,2036.019,92.88,21.09,home,47
Dane Cruikshank,2036.019,94.03,13.35,away,47
football,2036.019,89.07,24.35,football,47
Rishard Matthews,2036.02,37.57,22.08,away,48
Brandon Bolden,2036.02,94.62,11.95,home,48
Logan Ryan,2036.02,76.15,1.89,away,48
Daren Bates,2036.02,92.31,23.81,away,48
Brynden Trawick,2036.02,93.97,24.84,away,48
Walt Aikens,2036.02,76.12,0.6,home,48
David Fluellen,2036.02,94.78,28.12,away,48
Senorise Perry,2036.02,89.91,25.25,home,48
Stephone Anthony,2036.02,91.17,18.05,home,48
A.J. Derby,2036.02,94.32,24.16,home,48
LeShaun Sims,2036.02,89.46,26.09,away,48
Aaron Wallace,2036.02,90.49,20.43,away,48
Tanner McEvoy,2036.02,97.5,21.61,home,48
Kenneth Durden,2036.02,74.27,49.91,away,48
Jonnu Smith,2036.02,100.26,23.1,away,48
Jayon Brown,2036.02,90.37,17.87,away,48
Chase Allen,2036.02,92.71,25.05,home,48
Matt Haack,2036.02,101.8,23.2,home,48
Torry McTyer,2036.02,73.93,51.02,home,48
Jerome Baker,2036.02,95.26,27.48,home,48
Durham Smythe,2036.02,92.41,21.02,home,48
Dane Cruikshank,2036.02,93.67,12.74,away,48
football,2036.02,86.78,24.52,football,48
Rishard Matthews,2036.021,37.48,22.23,away,49
Brandon Bolden,2036.021,94.19,11.33,home,49
Logan Ryan,2036.021,75.28,1.83,away,49
Daren Bates,2036.021,92.07,23.97,away,49
Brynden Trawick,2036.021,93.84,24.9,away,49
Walt Aikens,2036.021,75.23,0.57,home,49
David Fluellen,2036.021,94.53,28.23,away,49
Senorise Perry,2036.021,89.22,24.92,home,49
Stephone Anthony,2036.021,90.67,17.98,home,49
A.J. Derby,2036.021,94.08,24.11,home,49
LeShaun Sims,2036.021,88.87,25.78,away,49
Aaron Wallace,2036.021,89.89,20.38,away,49
